stock_code,is_success
000769.XSHE,False
000776.XSHE,False
000777.XSHE,False
000778.XSHE,False
000779.XSHE,False
000780.XSHE,False
000782.XSHE,False
000783.XSHE,False
000785.XSHE,False
000786.XSHE,False
000787.XSHE,False
000788.XSHE,False
000789.XSHE,False
000790.XSHE,False
000791.XSHE,False
000792.XSHE,False
000793.XSHE,False
000795.XSHE,False
000796.XSHE,False
000797.XSHE,False
000798.XSHE,False
000799.XSHE,False
000800.XSHE,False
000801.XSHE,False
000802.XSHE,False
000803.XSHE,False
000805.XSHE,False
000806.XSHE,False
000807.XSHE,False
000809.XSHE,False
000810.XSHE,False
000811.XSHE,False
000812.XSHE,False
000813.XSHE,False
000815.XSHE,False
000816.XSHE,False
000817.XSHE,False
000818.XSHE,False
000819.XSHE,False
000820.XSHE,False
000821.XSHE,False
000822.XSHE,False
000823.XSHE,False
000825.XSHE,False
000826.XSHE,False
000827.XSHE,False
000828.XSHE,False
000829.XSHE,False
000830.XSHE,False
000831.XSHE,False
000832.XSHE,False
000833.XSHE,False
000835.XSHE,False
000836.XSHE,False
000837.XSHE,False
000838.XSHE,False
000839.XSHE,False
000848.XSHE,False
000850.XSHE,False
000851.XSHE,False
000852.XSHE,False
000856.XSHE,False
000858.XSHE,False
000859.XSHE,False
000860.XSHE,False
000861.XSHE,False
000862.XSHE,False
000863.XSHE,False
000866.XSHE,False
000868.XSHE,False
000869.XSHE,False
000875.XSHE,False
000876.XSHE,False
000877.XSHE,False
000878.XSHE,False
000880.XSHE,False
000881.XSHE,False
000882.XSHE,False
000883.XSHE,False
000885.XSHE,False
000886.XSHE,False
000887.XSHE,False
000888.XSHE,False
000889.XSHE,False
000890.XSHE,False
000892.XSHE,False
000893.XSHE,False
000895.XSHE,False
000897.XSHE,False
000898.XSHE,False
000899.XSHE,False
000900.XSHE,False
000901.XSHE,False
000902.XSHE,False
000903.XSHE,False
000905.XSHE,False
000906.XSHE,False
000908.XSHE,False
000909.XSHE,False
000910.XSHE,False
000911.XSHE,False
000912.XSHE,False
000913.XSHE,False
000915.XSHE,False
000916.XSHE,False
000917.XSHE,False
000918.XSHE,False
000919.XSHE,False
000920.XSHE,False
000921.XSHE,False
000922.XSHE,False
000923.XSHE,False
000925.XSHE,False
000926.XSHE,False
000927.XSHE,False
000928.XSHE,False
000929.XSHE,False
000930.XSHE,False
000931.XSHE,False
000932.XSHE,False
000933.XSHE,False
000935.XSHE,False
000936.XSHE,False
000937.XSHE,False
000938.XSHE,False
000939.XSHE,False
000948.XSHE,False
000949.XSHE,False
000950.XSHE,False
000951.XSHE,False
000952.XSHE,False
000953.XSHE,False
000955.XSHE,False
000956.XSHE,False
000957.XSHE,False
000958.XSHE,False
000959.XSHE,False
000960.XSHE,False
000961.XSHE,False
000962.XSHE,False
000963.XSHE,False
000965.XSHE,False
000966.XSHE,False
000967.XSHE,False
000968.XSHE,False
000969.XSHE,False
000970.XSHE,False
000971.XSHE,False
000972.XSHE,False
000973.XSHE,False
000975.XSHE,False
000976.XSHE,False
000977.XSHE,False
000978.XSHE,False
000979.XSHE,False
000980.XSHE,False
000981.XSHE,False
000982.XSHE,False
000983.XSHE,False
000985.XSHE,False
000987.XSHE,False
000988.XSHE,False
000989.XSHE,False
000990.XSHE,False
000993.XSHE,False
000995.XSHE,False
000996.XSHE,False
000997.XSHE,False
000998.XSHE,False
000999.XSHE,False
001696.XSHE,False
001872.XSHE,False
001896.XSHE,False
001914.XSHE,False
001965.XSHE,False
001979.XSHE,False
002001.XSHE,False
002002.XSHE,False
002003.XSHE,False
002004.XSHE,False
002005.XSHE,False
002006.XSHE,False
002007.XSHE,False
002008.XSHE,False
002009.XSHE,False
002010.XSHE,False
002011.XSHE,False
002012.XSHE,False
002013.XSHE,False
002014.XSHE,False
002015.XSHE,False
002016.XSHE,False
002017.XSHE,False
002018.XSHE,False
002019.XSHE,False
002020.XSHE,False
002021.XSHE,False
002022.XSHE,False
002023.XSHE,False
002024.XSHE,False
002025.XSHE,False
002026.XSHE,False
002027.XSHE,False
002028.XSHE,False
002029.XSHE,False
002030.XSHE,False
002031.XSHE,False
002032.XSHE,False
002033.XSHE,False
002034.XSHE,False
002035.XSHE,False
